actor,count
AFRELI,1039
AFRENV,49
AFRGOV,62452
AFRGOVAGR,150
AFRGOVBUS,529
AFRGOVDEV,48
AFRGOVEDU,410
AFRGOVENV,150
AFRGOVHLH,945
AFRGOVHRI,367
AFRGOVJUD,1
AFRGOVLAB,115
AFRGOVMED,265
AFRGOVMIL,959
AFRGOVPTY,346
AFRHLH,2422
AFRHRI,74
AFRINS,11
AFRJEW,8
AFRJUD,10842
AFRLAB,2550
AFRLEG,7638
AFRMED,13417
AFRMIL,5803
AFRMILCOP,1
AFRMILGOV,9
AFRMILSPY,65
AFRMOS,105
AFRMOSUAF,2
AFROPP,1471
AFROPPDEV,1
AFROPPEDU,1
AFRPTY,683
AFRRAD,25
AFRREB,1070
AFRREBMOS,5
AFRREF,1732
AFRREL,1379
AFRSEP,299
AFRSET,3
AFRSPY,406
AFRUAF,835
AGO,217665
AGOAGR,33
AGOBUS,857
AGOCHR,94
AGOCHRCTH,56
AGOCHRPRO,47
AGOCOP,2098
AGOCRM,111
AGOCVL,2149
AGOEDU,722
AGOELI,1605
AGOELICOP,1
AGOELICVL,14
AGOELIGOV,2381
AGOELIGOVDEV,6
AGOELIMIL,6
AGOELIPTY,6
AGOELIUAF,2
AGOENV,7
AGOGOV,39035
AGOGOVAGR,337
AGOGOVBUS,593
AGOGOVBUSCRM,2
AGOGOVBUSGOVMED,4
AGOGOVCRM,1
AGOGOVCVL,3
AGOGOVDEV,76
AGOGOVDEVGOVENV,1
AGOGOVEDU,237
AGOGOVENV,123
AGOGOVGOVHLH,8
AGOGOVHLH,526
AGOGOVHRI,6
AGOGOVJUD,175
AGOGOVLAB,28
AGOGOVMED,469
AGOGOVMIL,1492
AGOGOVPTY,217
AGOGOVSEP,1
AGOHLH,390
AGOHRI,14
AGOINS,12
AGOJUD,341
AGOLAB,228
AGOLEG,2454
AGOMED,4123
AGOMIL,6954
AGOMILCOP,2
AGOMILGOV,24
AGOOPP,495
AGOOPPDEV,1
AGOOPPUAF,5
AGOPTY,170
AGORAD,4
AGOREB,2306
AGOREF,2155
AGOREL,442
AGOSEP,1044
AGOSET,2
AGOSPY,47
AGOUAF,439
AGR,189300
AGRAGR,121
AGRBUS,271
AGRCHR,4
AGRCOP,64
AGRCRM,8
AGRCVL,245
AGREDU,110
AGRELI,11
AGRENV,2
AGRGOV,310
AGRGOVAGR,6
AGRGOVBUS,16
AGRGOVHLH,1
AGRGOVLAB,1
AGRHLH,4
AGRHRI,21
AGRJUD,140
AGRLAB,374
AGRLEG,472
AGRMED,86
AGRMIL,11
AGRMOS,4
AGROPP,156
AGRPTY,14
AGRREB,14
AGRREF,8
AGRREL,2
AGRUAF,13
AHM,725
AHMMED,2
AHMREL,4
AHMUAF,3
AIA,1374
AIABUS,8
AIACOP,1
AIACVL,4
AIAEDU,1
AIAELI,187
AIAELIBUS,2
AIAELICRM,1
AIAELIGOV,13
AIAELIJUD,7
AIAELILAB,2
AIAELIMED,10
AIAELIMIL,1
AIAGOV,227
AIAGOVBUS,1
AIAGOVEDU,1
AIAGOVHLH,1
AIAGOVJUD,20
AIAGOVLEG,4
AIAJUD,1
AIALEG,17
AIAMED,6
AIAMIL,2
AIAOPP,2
AIAPTY,12
AIASEP,1
AIAUAF,2
AIN,246
AINCVL,4
AINGOV,1
AINLEG,1
AKA,2926
AKABUS,5
AKACHR,3
AKACOP,1
AKACVL,10
AKAEDU,7
AKAGOV,105
AKAJUD,2
AKALEG,9
AKAMIL,4
AKAMOS,1
AKAPTY,4
AKAREL,9
ALB,250320
ALBAGR,35
ALBBUS,552
ALBCHR,158
ALBCHRCTH,3
ALBCHRPRO,1
ALBCOP,3366
ALBCRM,645
ALBCVL,7833
ALBEDU,1847
ALBELI,3143
ALBELICOP,58
ALBELIEDU,4
ALBELIGOV,473
ALBELIGOVAGR,4
ALBELIGOVDEV,1
ALBELIGOVMIL,79
ALBELIJUD,1
ALBELILEG,28
ALBELIMED,2
ALBELIOPP,91
ALBELIPTY,83
ALBELIUAF,1
ALBENV,1
ALBGOV,39500
ALBGOVAGR,67
ALBGOVBUS,211
ALBGOVBUSELI,1
ALBGOVBUSGOVMED,15
ALBGOVCOP,7
ALBGOVCRM,2
ALBGOVCVL,1
ALBGOVDEV,8
ALBGOVEDU,96
ALBGOVELI,22
ALBGOVENV,24
ALBGOVENVELI,1
ALBGOVGOVMIL,22
ALBGOVHLH,123
ALBGOVJUD,196
ALBGOVJUDELI,1
ALBGOVLAB,56
ALBGOVLEG,5
ALBGOVMED,472
ALBGOVMIL,1646
ALBGOVMILELI,5
ALBGOVPTY,151
ALBGOVSPY,22
ALBHLH,315
ALBHRI,6
ALBJEW,7
ALBJUD,1099
ALBLAB,480
ALBLEG,2761
ALBMED,4450
ALBMIL,2325
ALBMILCOP,3
ALBMILGOV,20
ALBMILSPY,4
ALBMOS,57
ALBMOSUAF,1
ALBOPP,1919
ALBOPPEDU,7
ALBOPPMED,6
ALBOPPUAF,1
ALBPTY,3967
ALBRAD,1719
ALBREB,5882
ALBREF,2465
ALBREL,158
ALBSEP,2763
ALBSPY,97
ALBUAF,5076
ALE,49
ALEBUS,13
ALECVL,14
ALG,10
ALGCVL,2
ALT,1196
ALTAGR,2
ALTBUS,6
ALTCOP,1
ALTCVL,6
ALTGOV,50
ALTGOVMED,2
ALTHLH,4
ALTJUD,2
ALTLAB,5
ALTLEG,7
ALTMED,5
ALTMIL,9
ALTPTY,1
ALU,185
ALUBUS,1
ALUCOP,2
ALUCVL,21
ALUGOV,33
ALUHLH,1
ALULEG,1
ALUREB,1
ALUSET,4
AMB,30
AMBCHR,28
AMBCOP,2
AMBCRM,1
AMBCVL,1
AMBEDU,1
AMBREF,1
AME,58
AMH,925
AMHAGR,3
AMHCOP,3
AMHCVL,28
AMHEDU,3
AMHGOV,6
AMHGOVHLH,1
AMHJUD,1
AMHLAB,2
AMHMIL,5
AMHOPP,3
AMHREB,2
AND,1187
ANDBUS,18
ANDCOP,4
ANDCVL,4
ANDEDU,2
ANDELI,31
ANDELICOP,28
ANDELIGOV,4
ANDGOV,159
ANDGOVMED,4
ANDJUD,1
ANDLEG,4
ANDMED,4
APA,7125
APABUS,80
APACOP,8
APACVL,8
APAEDU,24
APAGOV,43
APAJUD,9
APAMED,7
APAMIL,762
APAOPP,2
APAUAF,2
ARBUIS,2425
ARBUISCVL,2
ARBUISGOV,48
ARBUISGOVBUS,1
ARBUISGOVHLH,4
ARBUISGOVMED,1
ARBUISJUD,2
ARBUISMED,1
ARBUISOPP,3
ARE,252157
AREAGR,25
AREBUS,4814
ARECHR,11
ARECOP,5202
ARECRM,684
ARECVL,1029
AREEDU,2696
AREELI,164
AREENV,1
AREGOV,18501
AREGOVAGR,2
