actor,count
DEUGOVOPP,5
DEUGOVPTY,154
DEUGOVREL,2
DEUGOVSPY,18
DEUHLH,2609
DEUHRI,36
DEUINS,6
DEUJEW,183
DEUJUD,9482
DEULAB,1382
DEULEG,17190
DEULEGCOP,297
DEULEGCVL,4
DEULEGEDU,3
DEULEGELI,4
DEULEGGOV,514
DEULEGGOVBUS,2
DEULEGGOVHRI,10
DEULEGGOVMIL,2
DEULEGMED,4
DEULEGMIL,1
DEULEGPTY,31
DEUMED,31687
DEUMEDBUS,1
DEUMEDGOV,2
DEUMEDJUD,2
DEUMIL,10983
DEUMILCOP,25
DEUMILGOV,32
DEUMILJUD,45
DEUMILSPY,41
DEUMOS,153
DEUMOSRAD,3
DEUMOSUAF,19
DEUOPP,1903
DEUOPPDEV,5
DEUOPPEDU,5
DEUPTY,5031
DEURAD,136
DEUREB,271
DEUREF,635
DEUREL,1557
DEUSEP,29
DEUSET,105
DEUSPY,1900
DEUUAF,923
DGR,10
DIN,2153
DINBUS,2
DINCHR,12
DINCOP,2
DINCVL,127
DINEDU,3
DINELI,2
DINGOV,11
DINLEG,4
DINMIL,2
DINPTY,4
DINREF,17
DINREL,1
DINUAF,5
DIV,1632
DIVBUS,41
DIVCOP,56
DIVCRM,1
DIVCVL,58
DIVEDU,86
DIVELI,100
DIVGOV,1522
DIVGOVAGR,8
DIVGOVENV,2
DIVGOVHLH,14
DIVGOVMED,8
DIVGOVMIL,16
DIVHLH,2
DIVJUD,6
DIVLAB,1
DIVLEG,38
DIVMED,50
DIVMIL,42
DIVMOS,2
DIVOPP,46
DIVPTY,573
DIVREL,6
DIVSPY,3
DIVUAF,1
DJI,38527
DJIAGR,1
DJIBUS,38
DJICHR,2
DJICOP,114
DJICRM,4
DJICVL,94
DJIEDU,10
DJIELI,73
DJIELIGOV,18
DJIGOV,5834
DJIGOVAGR,6
DJIGOVBUS,26
DJIGOVEDU,10
DJIGOVHLH,11
DJIGOVHRI,2
DJIGOVJUD,2
DJIGOVLAB,1
DJIGOVMED,33
DJIGOVMIL,65
DJIGOVPTY,3
DJIGOVREL,1
DJIHLH,6
DJIJEW,3
DJIJUD,67
DJILAB,8
DJILEG,101
DJIMED,203
DJIMIL,391
DJIMILGOV,6
DJIMOS,1
DJIOPP,48
DJIPTY,18
DJIREB,10
DJIREF,30
DJIREL,13
DJISEP,1
DJISPY,10
DJIUAF,16
DMA,6070
DMAAGR,3
DMABUS,15
DMACHR,2
DMACOP,41
DMACVL,19
DMAEDU,10
DMAELI,219
DMAELIGOV,9
DMAELIGOVAGR,2
DMAELIGOVEDU,5
DMAELIOPP,19
DMAELIPTY,1
DMAELIREL,1
DMAENV,2
DMAGOV,1320
DMAGOVAGR,19
DMAGOVBUS,100
DMAGOVBUSGOVLAB,4
DMAGOVBUSREL,4
DMAGOVDEV,11
DMAGOVDEVGOVEDU,2
DMAGOVEDU,3
DMAGOVEDUGOVHLH,1
DMAGOVENV,3
DMAGOVENVGOVHLH,4
DMAGOVHLH,10
DMAGOVJUD,1
DMAGOVLAB,14
DMAGOVMED,6
DMAHLH,1
DMAJUD,44
DMALAB,9
DMALEG,28
DMAMED,17
DMAMIL,12
DMAOPP,31
DMAREL,6
DMASEP,4
DNK,171676
DNKAGR,46
DNKBUS,1754
DNKCHR,97
DNKCOP,2002
DNKCRM,106
DNKCVL,1267
DNKEDU,1580
DNKELI,829
DNKELIGOV,46
DNKELILEG,1
DNKELIPTY,24
DNKENV,9
DNKFRO,1763
DNKFROBUS,15
DNKFROCOP,8
DNKFROCVL,1
DNKFROELI,24
DNKFROELIPTY,1
DNKFROGOV,94
DNKFROGOVBUS,1
DNKFROGOVMED,4
DNKFROLEG,12
DNKFROMED,9
DNKFROMIL,5
DNKFROPTY,1
DNKGOV,26320
DNKGOVAGR,461
DNKGOVBUS,321
DNKGOVBUSGOVENV,9
DNKGOVBUSGOVMED,2
DNKGOVBUSPTY,3
DNKGOVCOP,1
DNKGOVCRM,3
DNKGOVDEV,96
DNKGOVEDU,62
DNKGOVELI,2
DNKGOVENV,222
DNKGOVGOVEDU,7
DNKGOVGOVENV,4
DNKGOVHLH,56
DNKGOVHRI,1
DNKGOVJUD,193
DNKGOVLAB,29
DNKGOVMED,31
DNKGOVMIL,935
DNKGOVPTY,3
DNKGOVREF,73
DNKGRL,8480
DNKGRLAGR,1
DNKGRLBUS,170
DNKGRLCHR,1
DNKGRLCOP,264
DNKGRLCRM,12
DNKGRLCVL,131
DNKGRLEDU,34
DNKGRLELI,38
DNKGRLGOV,342
DNKGRLGOVAGR,6
DNKGRLGOVBUS,2
DNKGRLGOVENV,11
DNKGRLGOVHLH,2
DNKGRLHLH,3
DNKGRLJUD,27
DNKGRLLAB,2
DNKGRLLEG,58
DNKGRLMED,69
DNKGRLMIL,21
DNKGRLOPP,4
DNKGRLPTY,20
DNKGRLREL,2
DNKHLH,234
DNKHRI,23
DNKJEW,2
DNKJUD,793
DNKLAB,87
DNKLEG,1601
DNKMED,3820
DNKMIL,1738
DNKMILCOP,3
DNKMILSPY,12
DNKMOS,122
DNKMOSRAD,1
DNKOPP,334
DNKPTY,334
DNKRAD,2
DNKREB,10
DNKREF,431
DNKREL,194
DNKSEP,11
DNKSET,5
DNKSPY,276
DNKUAF,59
DOI,18
DOM,45798
DOMAGR,15
DOMBUS,243
DOMCHR,9
DOMCHRCTH,3
DOMCHRPRO,4
DOMCOP,540
DOMCRM,57
DOMCVL,510
DOMEDU,380
DOMELI,591
DOMELIGOV,49
DOMELIJUD,15
DOMELIMIL,1
DOMELIOPP,1
DOMELIPTY,26
DOMGOV,8115
DOMGOVAGR,10
DOMGOVBUS,36
DOMGOVCOP,15
DOMGOVEDU,54
DOMGOVELI,1
DOMGOVENV,69
DOMGOVHLH,72
DOMGOVHRI,3
DOMGOVJUD,8
DOMGOVLAB,10
DOMGOVLEG,2
DOMGOVMED,142
DOMGOVMEDCOP,4
DOMGOVMIL,18
DOMGOVOPP,1
DOMGOVPTY,12
DOMHLH,264
DOMJUD,452
DOMLAB,73
DOMLEG,242
DOMMED,496
DOMMIL,533
DOMOPP,97
DOMPTY,77
DOMREB,59
DOMREF,11
DOMREL,157
DOMSPY,13
DOMUAF,3
DON,13308
DONAGR,4
DONBUS,46
DONCOP,18
DONCRM,13
DONCVL,71
DONEDU,38
DONELI,3
DONGOV,54
DONGOVHLH,4
DONGOVLAB,3
DONHLH,4
DONJUD,4
DONLAB,1
DONLEG,2
DONMED,144
DONMIL,14
DONOPP,1
DONUAF,2
DOX,59
DOXCVL,1
DOXJUD,1
DRA,228
DRAEDU,26
DRAGOV,1
DRAPTY,1
DRASAS,2
DRU,5711
DRUAGR,4
DRUBUS,2
DRUCHR,46
DRUCHRMAR,1
DRUCOP,13
DRUCVL,685
DRUEDU,25
DRUELI,3
DRUGOV,51
DRUHLH,14
DRULAB,1
DRULEG,31
DRUMED,23
DRUMIL,23
DRUOPP,89
DRUPTY,54
DRUREB,34
DRUREF,2
DRUREL,34
DRUUAF,414
DZA,172087
DZAAGR,38
DZABUS,599
DZACHR,55
DZACHRCTH,6
DZACHRPRO,2
DZACOP,2050
DZACRM,210
DZACVL,1698
DZAEDU,420
DZAELI,1868
DZAELIGOV,844
DZAELIGOVAGR,4
DZAELIGOVDEV,1
DZAELIGOVMIL,2
DZAELIJUD,1
DZAELILEG,7
DZAELIMED,4
DZAELIMIL,2
DZAELIPTY,4
DZAELISEP,1
DZAGOV,31357
DZAGOVAGR,81
DZAGOVAGRUAF,2
DZAGOVBUS,700
DZAGOVBUSELI,1
DZAGOVBUSGOVENV,2
DZAGOVBUSGOVMED,16
DZAGOVCOP,2
DZAGOVDEV,31
DZAGOVEDU,57
DZAGOVELI,8
DZAGOVENV,26
DZAGOVENVGOVMED,3
DZAGOVGOVEDU,2
DZAGOVGOVHLH,2
DZAGOVGOVMIL,6
DZAGOVHLH,77
DZAGOVHLHCVL,2
DZAGOVHRI,6
DZAGOVJUD,51
DZAGOVLAB,32
DZAGOVLEG,2
DZAGOVMED,279
DZAGOVMIL,252
DZAGOVMILCOP,3
DZAGOVPTY,48
DZAGOVREL,51
DZAGOVSEP,1
DZAHLH,197
DZAHRI,21
DZAJEW,3
DZAJUD,607
DZALAB,340
DZALEG,868
DZAMED,3240
DZAMIL,2041
DZAMILCOP,4
DZAMILGOV,80
DZAMILJUD,16
DZAMILSPY,5
DZAMOS,460
DZAMOSRAD,18
DZAMOSUAF,146
DZAOPP,701
DZAOPPDEV,2
DZAOPPEDU,8
DZAPTY,152
DZARAD,165
DZAREB,298
DZAREBMOS,13
DZAREF,240
DZAREL,241
DZASEP,40
DZASET,5
DZASPY,100
DZAUAF,922
DZAUAFMOS,6
EARNRM010,6237
EARNRM010COP,1
EARNRM010CRM,3
EARNRM010EDU,3
EARNRM010ELI,4
EARNRM010HLH,1
EARNRM010JUD,6
EARNRM010LEG,28
EARNRM010MED,66
EARNRM010OPP,112
EARNRM010RAD,1
EARNRM010REF,7
EARNRM010REL,35
EARSYN010,9
EARSYN020,52
EARSYN020REL,4
EARSYN030,5
EARSYN040,8
EAT,10657
EATAGR,1
EATBUS,5
EATCHR,3
EATCHRCTH,2
EATCOP,65
EATCRM,5
EATCVL,189
EATEDU,133
EATELI,55
EATGOV,605
EATHLH,2
EATJUD,14
EATLAB,9
EATLEG,73
EATMED,8
EATMIL,46
EATMILCOP,1
EATOPP,247
EATOPPEDU,1
EATPTY,6
EATREB,408
EATREF,658
EATREL,49
EATSEP,68
EATUAF,74
ECU,69856
ECUAGR,11
ECUBUS,219
ECUCHR,16
ECUCHRPRO,3
ECUCOP,454
ECUCRM,56
ECUCVL,697
ECUEDU,137
ECUELI,1215
ECUELICOP,1
ECUELIEDU,3
ECUELIGOV,292
ECUELIGOVHLH,10
ECUELIGOVMIL,1
ECUELIHLH,1
ECUELIINS,1
ECUELIJUD,9
ECUELIMED,23
ECUELIMIL,14
ECUELIPTY,5
ECUENV,3
ECUGOV,14395
ECUGOVAGR,69
ECUGOVAGRGOVHLH,13
ECUGOVBUS,385
ECUGOVBUSSPY,1
ECUGOVCOP,5
ECUGOVDEV,22
ECUGOVDEVGOVHLH,4
ECUGOVEDU,38
ECUGOVELI,1
ECUGOVENV,37
ECUGOVGOVBUS,4
ECUGOVGOVHLH,2
ECUGOVGOVLAB,2
ECUGOVGOVMIL,6
ECUGOVHLH,121
ECUGOVHRI,41
ECUGOVHRILEG,5
ECUGOVJUD,24
ECUGOVLAB,19
ECUGOVLABLEG,1
ECUGOVLEG,11
ECUGOVMED,45
ECUGOVMIL,462
ECUGOVMILELI,1
ECUGOVPTY,8
ECUHLH,86
ECUJEW,1
ECUJUD,652
ECULAB,40
ECULEG,440
ECUMED,544
ECUMIL,923
ECUMILSPY,7
ECUMOS,6
ECUOPP,81
ECUOPPLAB,1
ECUPTY,41
ECUREB,91
ECUREF,39
ECUREL,53
ECUSPY,17
ECUUAF,12
EDU,1696558
EDUAGR,17
EDUBUD,2
EDUBUS,3362
EDUCHR,684
EDUCHRCTH,16
EDUCHRPRO,12
EDUCOP,3078
EDUCRM,301
EDUCVL,9159
EDUEDU,104096
EDUELI,1007
EDUENV,2
EDUGOV,22799
EDUGOVAGR,3
EDUGOVBUS,12
EDUGOVCOP,6
EDUGOVDEV,40
EDUGOVEDU,569
EDUGOVHLH,35
EDUGOVMIL,26
EDUHLH,11455
EDUHRI,8
EDUJEW,29
EDUJUD,2392
EDULAB,4785
EDULEG,3722
EDUMED,8268
EDUMIL,945
EDUMILCOP,5
EDUMILJUD,10
EDUMILSPY,4
EDUMOS,1241
EDUMOSREB,1
EDUOPP,2841
EDUOPPEDU,9
EDUPTY,74
EDURAD,6
EDUREB,808
EDUREF,41
EDUREL,224
EDUSEA,2
EDUSEP,18
EDUSET,6
EDUSPY,376
EDUUAF,491
EDUUIG,1
EFI,78
EFICVL,8
EFIEDU,1
EFIGOV,12
EGY,957415
EGYAGR,150
EGYBUS,3762
EGYCHR,1441
EGYCHRCTH,18
EGYCHRMAR,1
EGYCHRPRO,18
EGYCOP,11387
EGYCRM,958
EGYCVL,6030
EGYEDU,5757
EGYELI,5085
EGYELICVL,7
EGYELIEDU,5
EGYELIGOV,853
EGYELIGOVMIL,8
EGYELIMIL,5
EGYELIMOS,1
EGYENV,10
EGYGOV,188265
EGYGOVAGR,441
EGYGOVAGRELI,8
EGYGOVBUS,957
EGYGOVBUSCOP,1
EGYGOVBUSELI,33
EGYGOVCOP,25
EGYGOVDEV,73
EGYGOVEDU,290
EGYGOVEDUELI,1
EGYGOVELI,1586
EGYGOVENV,89
EGYGOVGOVMED,2
EGYGOVGOVMIL,3
EGYGOVGOVPTY,33
EGYGOVHLH,693
EGYGOVHLHCVL,12
EGYGOVHRI,2
EGYGOVJUD,396
EGYGOVLAB,107
EGYGOVLEG,4
EGYGOVMED,1724
EGYGOVMIL,3158
EGYGOVMILCOP,1
EGYGOVMILELI,1
EGYGOVMOS,2
EGYGOVOPP,10
EGYGOVPTY,234
EGYGOVREL,64
EGYGOVSPY,5
EGYGOVUAF,2
EGYHLH,2522
EGYHRI,360
EGYINS,1
EGYJEW,133
EGYJUD,5667
EGYLAB,1162
EGYLEG,3960
EGYMED,18062
EGYMIL,11638
EGYMILCOP,233
EGYMILGOV,38
EGYMILJUD,51
EGYMILSPY,49
EGYMOS,1206
EGYMOSRAD,6
EGYMOSUAF,156
EGYOPP,7976
EGYOPPDEV,15
EGYOPPELI,53
EGYOPPGOV,75
EGYOPPJUD,1
EGYOPPMED,73
EGYOPPPTY,912
EGYOPPPTYCOP,1
EGYOPPPTYGOV,25
EGYOPPPTYLEG,2
EGYOPPPTYMED,12
EGYOPPUAF,23
EGYPTY,1276
EGYRAD,159
EGYREB,2135
EGYREF,678
EGYREL,1518
EGYSEP,3
EGYSET,24
EGYSPY,5352
EGYUAF,1078
EGYUAFMOS,48
EIN,336
EINBUS,9
EINCHR,1
EINCVL,23
EINELI,2
EINGOV,12
EINJUD,1
EINLEG,1
EINREB,3
EINUAF,2
ELI,166046
ELIAGR,161
ELIBUS,579
ELICHR,76
ELICHRCTH,53
ELICHRPRO,34
ELICOP,3180
ELICRM,42
ELICVL,527
ELIEDU,1630
ELIELI,175
ELIENV,4
ELIGOV,4988
ELIGOVAGR,1
ELIGOVBUS,8
ELIGOVCOP,27
ELIGOVEDU,13
ELIGOVHLH,2
ELIGOVJUD,2
ELIGOVLAB,3
ELIGOVMED,2
ELIGOVMIL,37
ELIGOVPTY,1
ELIGOVREL,1
ELIHLH,1039
ELIJEW,6
ELIJUD,5075
ELILAB,849
ELILEG,111
ELIMED,377
ELIMIL,15095
ELIMILCOP,14
ELIMILGOV,22
ELIMILJUD,39
ELIMILSPY,39
ELIMOS,18
ELIOPP,50
ELIPTY,225
ELIREB,1
ELIREF,9
ELIREL,1027
ELISEP,2
ELISPY,101
ELIUAF,43
ENV,25208
ENVBUS,3
ENVCOP,10
ENVCRM,2
ENVCVL,12
ENVEDU,19
ENVELI,1
ENVENV,3
ENVGOV,9
ENVHRI,1
ENVJUD,12
ENVLEG,4
ENVMED,4
ENVMIL,1
ENVOPP,40
ENVPTY,1
ENVRAD,3
ENVREL,2
ENVUAF,7
ERI,81223
ERIAGR,16
ERIBUS,115
ERICHR,39
ERICHRCTH,10
ERICOP,202
ERICRM,40
ERICVL,1078
ERIEDU,188
ERIELI,55
ERIGOV,13382
ERIGOVAGR,57
ERIGOVBUS,16
ERIGOVBUSGOVMED,2
ERIGOVDEV,26
ERIGOVEDU,20
ERIGOVENV,6
ERIGOVHLH,57
ERIGOVMED,286
ERIGOVMEDMIL,2
ERIGOVMIL,196
ERIGOVPTY,51
ERIHLH,52
ERIHRI,5
ERIJUD,31
ERILAB,49
ERILEG,212
ERIMED,695
ERIMIL,1007
ERIMILSPY,2
ERIMOS,32
ERIMOSUAF,1
ERIOPP,336
ERIOPPUAF,30
ERIPTY,50
ERIREB,516
ERIREF,898
ERIREL,61
ERISEP,329
ERISEPGOV,5
ERISEPMED,3
ERISEPOPP,6
ERISEPREB,3
ERISPY,24
ERIUAF,101
ESP,537441
ESPAGR,293
ESPBUS,6640
ESPCHR,172
ESPCHRCTH,47
ESPCHRPRO,43
ESPCOP,7891
ESPCRM,441
ESPCVL,3631
ESPEDU,2583
ESPELI,2108
ESPELIGOV,191
ESPELIOPP,22
ESPELIPTY,32
ESPENV,1
ESPGOV,77120
ESPGOVAGR,311
ESPGOVAGRGOVENV,8
ESPGOVBUS,666
ESPGOVBUSGOVMED,22
ESPGOVCOP,16
ESPGOVDEV,146
ESPGOVDEVCVL,1
ESPGOVDEVGOVMED,7
ESPGOVEDU,113
ESPGOVELI,14
ESPGOVENV,212
ESPGOVGOVMIL,15
ESPGOVHLH,956
ESPGOVHRI,1
ESPGOVJUD,118
ESPGOVLAB,262
ESPGOVLEG,4
ESPGOVMED,272
ESPGOVMIL,2319
ESPGOVOPP,19
ESPGOVPTY,71
ESPGOVREL,1
ESPHIN,3
ESPHLH,1062
ESPHRI,11
ESPINS,5
ESPJEW,41
ESPJUD,7333
ESPLAB,649
ESPLEG,3613
ESPMED,7975
ESPMIL,3912
ESPMILCOP,1
ESPMILGOV,37
ESPMILJUD,1
ESPMILSPY,21
ESPMOS,96
ESPMOSUAF,15
ESPOPP,1015
ESPOPPEDU,2
ESPPTY,674
ESPRAD,18
ESPREB,88
ESPREF,59
ESPREL,1259
ESPSEP,249
ESPSET,72
ESPSPY,358
ESPUAF,290
ESPUIG,1
EST,76463
ESTAGR,33
ESTBUS,640
ESTCHR,13
ESTCHRCTH,1
ESTCOP,524
ESTCRM,47
ESTCVL,922
ESTEDU,396
ESTELI,1105
ESTELICOP,4
ESTELIGOV,595
ESTELIGOVENV,1
ESTELIGOVMED,3
ESTELIGOVMIL,64
ESTELILEG,1
ESTELIMED,9
ESTELIOPP,2
ESTELIPTY,13
ESTGOV,16897
ESTGOVAGR,90
ESTGOVBUS,112
ESTGOVCOP,2
ESTGOVDEV,8
ESTGOVEDU,28
ESTGOVELI,6
ESTGOVENV,100
ESTGOVGOVENV,1
ESTGOVGOVMIL,5
ESTGOVHLH,12
ESTGOVHRI,1
ESTGOVJUD,131
ESTGOVLAB,1
ESTGOVMED,226
ESTGOVMEDPTY,1
ESTGOVMIL,1063
ESTGOVMILELI,2
ESTGOVMILGOVEDU,11
ESTGOVPTY,15
ESTHLH,49
ESTHRI,2
ESTJEW,6
ESTJUD,156
ESTLAB,71
ESTLEG,1266
ESTMED,1124
ESTMIL,1109
ESTMILGOV,4
ESTMILJUD,2
ESTMILSPY,15
ESTMOS,3
ESTOPP,188
ESTOPPUAF,1
ESTPTY,199
ESTREB,13
ESTREF,18
ESTREL,36
ESTSPY,29
ESTUAF,4
ETH,234817
ETHAGR,123
ETHBUS,2665
ETHCHR,132
ETHCHRCTH,6
ETHCHRPRO,4
ETHCOP,1316
ETHCRM,113
ETHCVL,2330
ETHEDU,1376
ETHELI,710
ETHELIGOV,169
ETHELIGOVMIL,14
ETHELIMED,1
ETHELIMIL,20
ETHELIOPP,2
ETHENV,8
ETHGOV,37579
ETHGOVAGR,126
ETHGOVBUS,372
ETHGOVBUSGOVAGR,1
ETHGOVCOP,6
ETHGOVCRM,1
ETHGOVDEV,119
ETHGOVEDU,68
ETHGOVELI,7
ETHGOVENV,4
ETHGOVGOVMIL,1
ETHGOVGOVPTY,13
ETHGOVHLH,182
ETHGOVHRI,34
ETHGOVJUD,6
ETHGOVLAB,17
ETHGOVMED,250
ETHGOVMIL,261
ETHGOVPTY,103
ETHGOVUAF,5
ETHHLH,221
ETHHRI,8
ETHIMG,1
ETHJEW,57
ETHJUD,440
ETHJUDMOS,3
ETHLAB,246
ETHLEG,740
ETHMED,2601
ETHMIL,4277
ETHMILCOP,5
ETHMILGOV,5
ETHMOS,79
ETHOPP,756
ETHOPPEDU,3
ETHOPPUAF,7
ETHPTY,218
ETHRAD,3
ETHREB,1166
ETHREBMOS,2
ETHREF,1102
ETHREL,130
ETHSEP,788
ETHSEPGOV,2
ETHSEPMIL,2
ETHSEPOPP,5
ETHSEPREB,70
ETHSEPUAF,21
ETHSPY,95
ETHUAF,369
EUR,672852
EURAGR,273
EURBUS,13371
EURCHR,869
EURCHRCTH,23
EURCHRPRO,24
EURCOP,1625
EURCRM,290
EURCVL,18831
EUREDU,1499
EURELI,302
EURENV,34
EURGOV,27939
EURGOVAGR,125
EURGOVBUS,9255
EURGOVDEV,2
EURGOVEDU,45
EURGOVENV,77
EURGOVHLH,83
EURGOVHRI,72
EURGOVJUD,5
EURGOVLAB,12
EURGOVMED,126
EURGOVMIL,621
EURGOVPTY,1
EURHLH,253
EURHRI,53
EURINS,1
EURJEW,142
EURJUD,491
EURLAB,737
EURLEG,2539
EURMED,3649
EURMIL,4423
EURMILGOV,1
EURMILSPY,6
EURMOS,89
EURMOSRAD,3
EURMOSUAF,15
EUROPP,391
EURPTY,1586
EURRAD,45
EURREB,38
EURREF,232
EURREL,231
EURSEP,18
EURSET,337
EURSPY,333
EURTAM,1
EURUAF,268
EVE,6
EWO,5
FAN,5834
FANBUS,6
FANCOP,9
FANCRM,13
FANCVL,16
FANEDU,28
FANGOV,239
FANGOVAGR,2
FANGOVEDU,1
FANGOVMIL,2
FANHLH,6
FANJUD,11
FANLAB,4
FANLEG,2
FANMED,27
FANMIL,26
FANOPP,70
FANREL,9
FAO,311
FAOAGR,1
FAOBUS,9
FAOCVL,2
FAOGOV,110
FAOGOVBUS,2
FAOLEG,14
FAOMED,22
FAOPTY,7
FAT,88
FATCVL,6
FATEDU,4
FIN,122414
FINAGR,19
FINBUS,1738
FINCHR,29
FINCHRCTH,2
FINCOP,833
FINCRM,45
FINCVL,900
FINEDU,1135
FINELI,3289
FINELICOP,4
FINELIGOV,1024
FINELIJUD,3
FINELILEG,9
FINELIOPP,4
FINELIPTY,10
FINENV,1
FINGOV,23593
FINGOVAGR,110
FINGOVAGRELI,1
FINGOVBUS,213
FINGOVBUSGOVMED,8
FINGOVCOP,1
FINGOVDEV,2
FINGOVEDU,112
FINGOVELI,20
FINGOVENV,151
FINGOVGOVBUS,1
FINGOVHLH,85
FINGOVHRI,1
FINGOVJUD,73
FINGOVLAB,73
FINGOVMED,147
FINGOVMEDGOVMIL,23
FINGOVMIL,595
FINGOVPTY,24
FINHLH,185
FINHRI,17
FINJUD,547
FINLAB,211
FINLEG,1138
FINMED,1878
FINMIL,1144
FINMILSPY,1
FINMOS,7
FINOPP,111
FINPTY,247
FINRAD,3
FINREB,8
FINREF,25
FINREL,164
FINSEP,9
FINSET,2
FINSPY,13
FINUAF,54
FIU,52
FIUCVL,7
FIUEDU,1
FIULEG,23
FJI,92854
FJIAGR,180
FJIBUS,617
FJICHR,6
FJICHRCTH,2
FJICHRPRO,185
FJICOP,1832
FJICRM,55
FJICVL,2200
FJIEDU,944
FJIELI,2340
FJIELIGOV,1037
FJIELIGOVLAB,4
FJIELIHLH,2
FJIELIINS,6
FJIELILEG,3
FJIELIMIL,47
FJIELIOPP,142
FJIELIPTY,69
FJIELISPY,1
FJIENV,1
FJIGOV,15480
FJIGOVAGR,30
FJIGOVBUS,850
FJIGOVBUSGOVAGR,6
FJIGOVBUSGOVEDU,87
FJIGOVBUSGOVLAB,13
FJIGOVBUSGOVMED,6
FJIGOVBUSGOVMIL,3
FJIGOVBUSMIL,1
FJIGOVDEV,86
FJIGOVDEVGOVENV,1
FJIGOVDEVMIL,41
FJIGOVEDU,131
FJIGOVEDUGOVENV,1
FJIGOVELI,18
FJIGOVENV,15
FJIGOVGOVBUS,2
FJIGOVGOVMED,2
FJIGOVGOVMIL,8
FJIGOVGOVPTY,1
FJIGOVHLH,235
FJIGOVHLHELI,1
FJIGOVHLHGOVLAB,1
FJIGOVHRI,130
FJIGOVINS,24
FJIGOVJUD,1
FJIGOVLAB,67
FJIGOVLABGOVMED,2
FJIGOVLABPTY,2
FJIGOVMED,89
FJIGOVMIL,443
FJIGOVOPP,57
FJIGOVPTY,8
FJIHLH,668
FJIHRI,2
FJIINS,547
FJIJEW,1
FJIJUD,3120
FJILAB,279
FJILEG,451
FJIMED,3493
FJIMIL,3250
FJIMILCOP,3
FJIMILGOV,3
FJIMOS,1
FJIOPP,233
FJIOPPDEV,7
FJIPTY,215
FJIREB,171
FJIREF,19
FJIREL,107
FJISAS,19
FJISEA,7
FJISET,1
FJISPY,26
FJIUAF,28
FRA,1414216
FRAAGR,900
FRABUS,17597
FRACHR,206
FRACHRCTH,129
FRACHRPRO,15
FRACOP,11689
FRACRM,1276
FRACVL,16040
FRAEDU,5941
FRAELI,12571
FRAELIBUS,2
FRAELICRM,18
FRAELIGOV,4078
FRAELIGOVAGR,12
FRAELIGOVBUS,1
FRAELIGOVEDU,21
FRAELIGOVMED,1
FRAELIGOVMIL,15
FRAELIJUD,4
FRAELILEG,18
FRAELIMED,8
FRAELIMIL,4
FRAELIOPP,14
FRAELIPTY,100
FRAENV,44
FRAGLP,1626
FRAGLPBUS,2
FRAGLPCOP,8
FRAGLPCVL,21
FRAGLPELI,2
FRAGLPGOV,39
FRAGLPGOVAGR,2
FRAGLPJUD,11
FRAGLPLAB,6
FRAGLPLEG,5
FRAGLPMED,8
FRAGLPOPP,18
FRAGLPREB,1
FRAGLPREL,1
FRAGLPSEP,1
FRAGLPUAF,1
FRAGOV,273894
FRAGOVAGR,1360
FRAGOVAGRJUD,2
FRAGOVBUS,10310
FRAGOVBUSCRM,4
FRAGOVBUSELI,3
FRAGOVBUSGOVEDU,4
FRAGOVBUSGOVENV,67
FRAGOVBUSGOVMED,214
FRAGOVBUSJUD,2
FRAGOVBUSMED,12
FRAGOVBUSPTY,2
FRAGOVCOP,14
FRAGOVCRM,6
FRAGOVDEV,879
FRAGOVDEVGOVENV,8
FRAGOVEDU,1020
FRAGOVEDUBUS,2
FRAGOVEDUGOVHLH,4
FRAGOVEDUMED,7
FRAGOVELI,93
FRAGOVENV,487
FRAGOVGOVAGR,9
FRAGOVGOVBUS,5
FRAGOVGOVEDU,22
FRAGOVGOVENV,41
FRAGOVGOVMED,10
FRAGOVGOVMIL,3
FRAGOVGOVPTY,9
FRAGOVHLH,1077
FRAGOVHLHGOVLAB,21
FRAGOVHRI,233
FRAGOVJUD,649
FRAGOVJUDELI,2
FRAGOVJUDGOVMED,4
FRAGOVJUDMED,1
FRAGOVLAB,859
FRAGOVLABELI,1
FRAGOVLABGOVEDU,4
FRAGOVLABGOVHLH,4
FRAGOVLABJUD,1
FRAGOVLEG,18
FRAGOVMED,1466
FRAGOVMIL,12760
FRAGOVMILELI,3
FRAGOVMILMED,1
FRAGOVMILPTY,3
FRAGOVOPP,1
FRAGOVPTY,213
FRAGOVREL,3
FRAGUF,1833
FRAGUFBUS,6
FRAGUFCOP,4
FRAGUFCRM,1
FRAGUFCVL,20
FRAGUFELI,2
FRAGUFGOV,26
FRAGUFGOVAGR,1
FRAGUFGOVMIL,1
FRAGUFJUD,1
FRAGUFLAB,2
FRAGUFLEG,2
FRAGUFMED,10
FRAGUFMIL,1
FRAGUFREB,1
FRAGUFREL,2
FRAGUFUAF,2
FRAHIN,6
FRAHLH,2439
FRAHRI,130
FRAINS,3
FRAJEW,263
FRAJUD,12907
FRALAB,1934
FRALEG,11348
FRAMED,50327
FRAMEDAGR,12
FRAMEDBUS,3
FRAMEDCOP,22
FRAMEDCRM,9
FRAMEDCVL,13
FRAMEDEDU,11
FRAMEDELI,2
FRAMEDGOV,46
FRAMEDGOVMED,1
FRAMEDGOVPTY,1
FRAMEDHLH,7
FRAMEDJUD,6
FRAMEDLAB,13
FRAMEDLEG,5
FRAMEDMIL,11
FRAMEDOPP,7
FRAMEDREF,1
FRAMEDREL,18
